"ID",管理コード,品番,物販名,略名,店舗名,物販カテゴリ,軽減税率対象,販売価格（税込）,販売価格（税抜）,原価,購入ポイント数,表示順序,適用開始日,適用終了日,有効フラグ,作成日時,作成者,更新日時,更新者
101283,"","","整体20分 5回券","整体20分×5回","LUXAS 新橋",,無効,12625,11690,,,1,2015-11-16,2016-09-01,無効,2015-11-16 18:01:35,株式会社　東邦_user,2016-09-01 14:45:31,株式会社　東邦_user
101286,"","","耳つぼ5回券","耳つぼ5回券","LUXAS 新橋",,無効,4500,4167,,,7,2015-11-16,2016-09-01,無効,2015-11-16 18:05:49,株式会社　東邦_user,2016-09-01 14:47:46,株式会社　東邦_user
101287,"","","足つぼ療法40分 10回5","足つぼ40分×5回","LUXAS 新橋",,無効,24700,22870,,,9,2015-11-16,2016-09-01,無効,2015-11-16 18:06:30,株式会社　東邦_user,2016-09-01 14:48:04,株式会社　東邦_user
170534,"","","１５周年記念クーポン","１５周年記念クーポン","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,600,556,,,0,2017-05-23,2019-09-20,有効,2017-05-23 10:04:39,LUXAS 渋谷_user,2019-09-22 09:43:08,株式会社　東邦_user
192950,"","","ポイントカード再発行","ポイントカード再発行","LUXAS+（ラクサスプラス）横浜元町中華街","ポイントカード再発行手数料",無効,200,185,,,4,2018-04-11,2019-09-30,有効,2018-04-11 13:17:46,LUXAS+ 横浜元町中華街_user,2019-09-22 15:25:50,株式会社　東邦_user
205646,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS五反田西口（ラクサス五反田西口）",,無効,600,556,,,0,2018-10-26,2018-11-01,無効,2018-10-26 19:13:05,LUXAS 五反田西口_user,2018-11-01 10:37:32,LUXAS 五反田西口_user
205647,"","","梅昆布茶３缶セット","梅昆布茶３缶セット","LUXAS五反田西口（ラクサス五反田西口）",,無効,1700,1574,,,0,2018-10-26,2018-11-01,無効,2018-10-26 19:14:18,LUXAS 五反田西口_user,2018-11-01 10:37:18,LUXAS 五反田西口_user
205916,"","","送料800","送料800","LUXAS五反田西口（ラクサス五反田西口）",,無効,800,741,,,0,2018-10-30,2018-11-01,無効,2018-10-30 19:08:19,LUXAS 五反田西口_user,2018-11-01 10:18:46,LUXAS 五反田西口_user
205917,"","","送料850","送料850","LUXAS五反田西口（ラクサス五反田西口）",,無効,850,787,,,0,2018-10-30,2018-11-01,無効,2018-10-30 19:11:52,LUXAS 五反田西口_user,2018-11-01 10:20:41,LUXAS 五反田西口_user
205918,"","","送料950","送料950","LUXAS五反田西口（ラクサス五反田西口）",,無効,950,880,,,0,2018-10-30,2018-11-01,無効,2018-10-30 19:12:56,LUXAS 五反田西口_user,2018-11-01 10:18:57,LUXAS 五反田西口_user
205919,"","","送料1080","送料1080","LUXAS五反田西口（ラクサス五反田西口）",,無効,1080,1000,,,0,2018-10-30,2018-11-01,無効,2018-10-30 19:13:49,LUXAS 五反田西口_user,2018-11-01 10:20:47,LUXAS 五反田西口_user
205920,"","","送料1280","送料1280","LUXAS五反田西口（ラクサス五反田西口）",,無効,1280,1185,,,0,2018-10-30,2018-11-01,無効,2018-10-30 19:14:21,LUXAS 五反田西口_user,2018-11-01 10:19:06,LUXAS 五反田西口_user
205921,"","","送料1330","送料1330","LUXAS五反田西口（ラクサス五反田西口）",,無効,1330,1231,,,0,2018-10-30,2018-11-01,無効,2018-10-30 19:14:53,LUXAS 五反田西口_user,2018-11-01 10:19:14,LUXAS 五反田西口_user
205922,"","","着払い","着払い","LUXAS五反田西口（ラクサス五反田西口）",,無効,350,324,,,0,2018-10-30,2018-11-01,無効,2018-10-30 19:15:35,LUXAS 五反田西口_user,2018-11-01 10:19:22,LUXAS 五反田西口_user
206040,"","","梅昆布茶(単品)","梅昆布茶(単品)",本部,"物販",無効,600,556,0,,1,2018-11-01,2019-09-30,有効,2018-11-01 09:16:34,株式会社　東邦_user,2019-09-22 14:19:42,株式会社　東邦_user
206041,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,600,556,0,,1,2018-11-01,2019-09-30,有効,2018-11-01 09:16:34,株式会社　東邦_user,2019-09-22 14:19:42,株式会社　東邦_user
206042,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS+中目黒","物販",無効,600,556,0,,1,2018-11-01,2019-09-30,有効,2018-11-01 09:16:34,株式会社　東邦_user,2019-09-22 14:19:42,株式会社　東邦_user
206043,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,600,556,0,,1,2018-11-01,2019-09-30,有効,2018-11-01 09:16:34,株式会社　東邦_user,2019-09-22 14:19:42,株式会社　東邦_user
206044,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS五反田東口（ラクサス五反田東口）","物販",無効,600,556,0,,1,2018-11-01,2019-09-30,有効,2018-11-01 09:16:34,株式会社　東邦_user,2019-09-22 14:19:42,株式会社　東邦_user
206045,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS錦糸町(ラクサス錦糸町)","物販",無効,600,556,0,,1,2018-11-01,2019-04-18,有効,2018-11-01 09:16:34,株式会社　東邦_user,2019-09-22 14:25:23,株式会社　東邦_user
206046,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS五反田西口（ラクサス五反田西口）","物販",無効,600,556,0,,1,2018-11-01,2019-09-30,有効,2018-11-01 09:16:34,株式会社　東邦_user,2019-09-22 14:19:42,株式会社　東邦_user
206047,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS+（ラクサスプラス）横浜元町中華街","物販",無効,600,556,0,,1,2018-11-01,2019-09-30,有効,2018-11-01 09:16:34,株式会社　東邦_user,2019-09-22 14:19:42,株式会社　東邦_user
206048,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS 新橋","物販",無効,600,556,0,,1,2018-11-01,2019-09-30,有効,2018-11-01 09:16:34,株式会社　東邦_user,2019-09-22 14:19:42,株式会社　東邦_user
206049,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)",本部,"物販",無効,1700,1574,0,,2,2018-11-01,2019-09-30,有効,2018-11-01 09:18:16,株式会社　東邦_user,2018-11-01 10:39:17,株式会社　東邦_user
206050,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,1700,1574,0,,2,2018-11-01,2019-09-30,有効,2018-11-01 09:18:16,株式会社　東邦_user,2018-11-01 10:39:17,株式会社　東邦_user
206051,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS+中目黒","物販",無効,1700,1574,0,,2,2018-11-01,2019-09-30,有効,2018-11-01 09:18:16,株式会社　東邦_user,2018-11-01 10:39:17,株式会社　東邦_user
206052,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,1700,1574,0,,2,2018-11-01,2019-09-30,有効,2018-11-01 09:18:16,株式会社　東邦_user,2018-11-01 10:39:17,株式会社　東邦_user
206053,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS五反田東口（ラクサス五反田東口）","物販",無効,1700,1574,0,,2,2018-11-01,2019-09-30,有効,2018-11-01 09:18:16,株式会社　東邦_user,2018-11-01 10:39:17,株式会社　東邦_user
206054,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS錦糸町(ラクサス錦糸町)","物販",無効,1700,1574,0,,2,2018-11-01,2019-09-30,有効,2018-11-01 09:18:16,株式会社　東邦_user,2018-11-01 10:39:17,株式会社　東邦_user
206055,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS五反田西口（ラクサス五反田西口）","物販",無効,1700,1574,0,,2,2018-11-01,2019-09-30,有効,2018-11-01 09:18:16,株式会社　東邦_user,2018-11-01 10:39:17,株式会社　東邦_user
206056,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS+（ラクサスプラス）横浜元町中華街","物販",無効,1700,1574,0,,2,2018-11-01,2019-09-30,有効,2018-11-01 09:18:16,株式会社　東邦_user,2018-11-01 10:39:17,株式会社　東邦_user
206057,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS 新橋","物販",無効,1700,1574,0,,2,2018-11-01,2019-09-30,有効,2018-11-01 09:18:16,株式会社　東邦_user,2018-11-01 10:39:17,株式会社　東邦_user
213734,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶",本部,,無効,0,0,0,,0,2019-03-04,2019-09-30,有効,2019-03-04 17:18:02,株式会社　東邦_user,2019-09-27 11:26:16,株式会社　東邦_user
213735,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶","LUXAS 渋谷(ラクサス 渋谷)",,無効,0,0,0,,0,2019-03-04,2019-09-20,有効,2019-03-04 17:18:02,株式会社　東邦_user,2019-09-27 11:26:16,株式会社　東邦_user
213736,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶","LUXAS+中目黒",,無効,0,0,0,,0,2019-03-04,2019-09-20,有効,2019-03-04 17:18:02,株式会社　東邦_user,2019-09-27 11:26:16,株式会社　東邦_user
213737,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）",,無効,0,0,0,,0,2019-03-04,2019-09-20,有効,2019-03-04 17:18:02,株式会社　東邦_user,2019-09-27 11:26:16,株式会社　東邦_user
213738,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶","LUXAS五反田東口（ラクサス五反田東口）",,無効,0,0,0,,0,2019-03-04,2019-09-20,有効,2019-03-04 17:18:02,株式会社　東邦_user,2019-09-27 11:26:16,株式会社　東邦_user
213739,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶","LUXAS錦糸町(ラクサス錦糸町)",,無効,0,0,0,,0,2019-03-04,2019-04-18,無効,2019-03-04 17:18:02,株式会社　東邦_user,2019-09-27 11:26:16,株式会社　東邦_user
213740,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶","LUXAS五反田西口（ラクサス五反田西口）",,無効,0,0,0,,0,2019-03-04,2019-09-20,有効,2019-03-04 17:18:02,株式会社　東邦_user,2019-09-27 11:26:16,株式会社　東邦_user
213741,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶","LUXAS+（ラクサスプラス）横浜元町中華街",,無効,0,0,0,,0,2019-03-04,2019-09-30,無効,2019-03-04 17:18:02,株式会社　東邦_user,2019-09-27 11:26:16,株式会社　東邦_user
213742,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶","LUXAS 新橋",,無効,0,0,0,,0,2019-03-04,2019-09-30,無効,2019-03-04 17:18:02,株式会社　東邦_user,2019-09-27 11:26:16,株式会社　東邦_user
216103,"","","梅昆布茶１缶","梅昆布茶１缶","LUXAS錦糸町(ラクサス錦糸町)","物販",無効,600,556,,,2,2019-05-03,2019-09-20,有効,2019-05-03 22:08:25,ほぐし家 錦糸町店_user,2019-09-22 14:18:57,株式会社　東邦_user
220299,"","","甘酒","甘酒","LUXAS+（ラクサスプラス）横浜元町中華街","物販",無効,800,741,,,3,2019-08-23,2019-09-30,有効,2019-08-23 10:46:12,LUXAS+ 横浜元町中華街_user,2019-09-22 15:24:12,株式会社　東邦_user
220300,"","","甘酒","甘酒","LUXAS+（ラクサスプラス）横浜元町中華街","物販",無効,800,727,,,3,2019-10-01,2020-03-31,有効,2019-08-23 10:46:12,LUXAS+ 横浜元町中華街_user,2019-12-30 13:51:09,株式会社　東邦_user
293205,"","","ポイントカード再発行","ポイントカード再発行","LUXAS+（ラクサスプラス）横浜元町中華街","ポイントカード再発行手数料",無効,200,182,,,4,2019-10-01,2020-04-01,無効,2018-04-11 13:17:46,LUXAS+ 横浜元町中華街_user,2020-04-01 18:05:02,LUXAS+ 横浜元町中華街_user
301115,"","","梅昆布茶(単品)","梅昆布茶(単品)",本部,"物販",無効,600,545,0,,1,2019-10-01,2020-03-31,有効,2018-11-01 09:16:34,株式会社　東邦_user,2020-02-29 12:12:57,株式会社　東邦_user
301118,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,600,545,0,,1,2019-10-01,2020-03-31,有効,2018-11-01 09:16:34,株式会社　東邦_user,2020-02-29 12:12:57,株式会社　東邦_user
301121,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS+中目黒","物販",無効,600,545,0,,1,2019-10-01,2020-03-31,有効,2018-11-01 09:16:34,株式会社　東邦_user,2020-02-29 12:12:57,株式会社　東邦_user
301124,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,600,545,0,,1,2019-10-01,2020-03-31,有効,2018-11-01 09:16:34,株式会社　東邦_user,2020-02-29 12:12:57,株式会社　東邦_user
301125,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS五反田東口（ラクサス五反田東口）","物販",無効,600,545,0,,1,2019-10-01,2020-03-31,有効,2018-11-01 09:16:34,株式会社　東邦_user,2020-02-29 12:12:57,株式会社　東邦_user
301131,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS五反田西口（ラクサス五反田西口）","物販",無効,600,545,0,,1,2019-10-01,2020-03-31,有効,2018-11-01 09:16:34,株式会社　東邦_user,2020-02-29 12:12:57,株式会社　東邦_user
301134,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS+（ラクサスプラス）横浜元町中華街","物販",無効,600,545,0,,1,2019-10-01,2020-03-31,有効,2018-11-01 09:16:34,株式会社　東邦_user,2020-02-29 12:12:57,株式会社　東邦_user
301135,"","","梅昆布茶(単品)","梅昆布茶(単品)","LUXAS 新橋","物販",無効,600,545,0,,1,2019-10-01,2020-03-31,有効,2018-11-01 09:16:34,株式会社　東邦_user,2020-02-29 12:12:57,株式会社　東邦_user
301170,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)",本部,"物販",無効,1700,1545,0,,2,2019-10-01,2020-03-31,有効,2018-11-01 09:18:16,株式会社　東邦_user,2019-12-14 15:43:00,株式会社　東邦_user
301173,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,1700,1545,0,,2,2019-10-01,2020-03-31,有効,2018-11-01 09:18:16,株式会社　東邦_user,2019-12-14 15:43:00,株式会社　東邦_user
301176,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS+中目黒","物販",無効,1700,1545,0,,2,2019-10-01,2020-03-31,有効,2018-11-01 09:18:16,株式会社　東邦_user,2019-12-14 15:43:00,株式会社　東邦_user
301178,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,1700,1545,0,,2,2019-10-01,2020-03-31,有効,2018-11-01 09:18:16,株式会社　東邦_user,2019-12-14 15:43:00,株式会社　東邦_user
301180,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS五反田東口（ラクサス五反田東口）","物販",無効,1700,1545,0,,2,2019-10-01,2020-03-31,有効,2018-11-01 09:18:16,株式会社　東邦_user,2019-12-14 15:43:00,株式会社　東邦_user
301183,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS錦糸町(ラクサス錦糸町)","物販",無効,1700,1545,0,,2,2019-10-01,2020-03-31,有効,2018-11-01 09:18:16,株式会社　東邦_user,2019-12-14 15:43:00,株式会社　東邦_user
301186,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS五反田西口（ラクサス五反田西口）","物販",無効,1700,1545,0,,2,2019-10-01,2020-03-31,有効,2018-11-01 09:18:16,株式会社　東邦_user,2019-12-14 15:43:00,株式会社　東邦_user
301187,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS+（ラクサスプラス）横浜元町中華街","物販",無効,1700,1545,0,,2,2019-10-01,2020-03-31,有効,2018-11-01 09:18:16,株式会社　東邦_user,2019-12-14 15:43:00,株式会社　東邦_user
301190,"","","梅昆布茶(3缶セット)","梅昆布茶(3缶セット)","LUXAS 新橋","物販",無効,1700,1545,0,,2,2019-10-01,2020-03-31,有効,2018-11-01 09:18:16,株式会社　東邦_user,2019-12-14 15:43:00,株式会社　東邦_user
311089,"","","LINE@抽選梅昆布茶","LINE@抽選梅昆布茶",本部,,無効,0,0,0,,0,2019-10-01,2019-10-31,有効,2019-03-04 17:18:02,株式会社　東邦_user,2019-12-14 15:32:25,株式会社　東邦_user
391799,"","","梅昆布茶１缶","梅昆布茶１缶","LUXAS錦糸町(ラクサス錦糸町)","物販",無効,600,545,,,1,2019-10-09,2020-12-23,無効,2019-10-09 18:51:40,ほぐし家 錦糸町店_user,2020-12-23 03:05:52,ほぐし家 錦糸町店_user
401218,"","","梅昆布茶（単品）","梅昆布茶（単品）",本部,"物販",有効,600,556,0,,101,2020-04-01,2023-09-30,有効,2019-12-14 15:40:36,株式会社　東邦_user,2023-10-13 16:09:13,株式会社　東邦_user
401219,"","","梅昆布茶（単品）","梅昆布茶（単品）","LUXAS 渋谷(ラクサス 渋谷)","物販",有効,600,556,0,,101,2020-04-01,2023-09-30,有効,2019-12-14 15:40:36,株式会社　東邦_user,2023-10-13 16:09:13,株式会社　東邦_user
401220,"","","梅昆布茶（単品）","梅昆布茶（単品）","LUXAS+中目黒","物販",有効,600,556,0,,101,2020-04-01,2023-09-30,有効,2019-12-14 15:40:36,株式会社　東邦_user,2023-10-13 16:09:13,株式会社　東邦_user
401221,"","","梅昆布茶（単品）","梅昆布茶（単品）","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",有効,600,556,0,,101,2020-04-01,2023-09-30,有効,2019-12-14 15:40:36,株式会社　東邦_user,2023-10-13 16:09:13,株式会社　東邦_user
401222,"","","梅昆布茶（単品）","梅昆布茶（単品）","LUXAS五反田東口（ラクサス五反田東口）","物販",有効,600,556,0,,101,2020-04-01,2023-09-30,有効,2019-12-14 15:40:36,株式会社　東邦_user,2023-10-13 16:09:13,株式会社　東邦_user
401223,"","","梅昆布茶（単品）","梅昆布茶（単品）","LUXAS錦糸町(ラクサス錦糸町)","物販",有効,600,556,0,,101,2020-04-01,2023-09-30,有効,2019-12-14 15:40:36,株式会社　東邦_user,2023-10-13 16:09:13,株式会社　東邦_user
401224,"","","梅昆布茶（単品）","梅昆布茶（単品）","LUXAS五反田西口（ラクサス五反田西口）","物販",有効,600,556,0,,101,2020-04-01,2023-09-30,有効,2019-12-14 15:40:36,株式会社　東邦_user,2023-10-13 16:09:13,株式会社　東邦_user
401225,"","","梅昆布茶（単品）","梅昆布茶（単品）","LUXAS+（ラクサスプラス）横浜元町中華街","物販",有効,600,556,0,,101,2020-04-01,2023-09-30,有効,2019-12-14 15:40:36,株式会社　東邦_user,2023-10-13 16:09:13,株式会社　東邦_user
401226,"","","梅昆布茶（単品）","梅昆布茶（単品）","LUXAS 新橋","物販",有効,600,556,0,,101,2020-04-01,2023-09-30,有効,2019-12-14 15:40:36,株式会社　東邦_user,2023-10-13 16:09:13,株式会社　東邦_user
401227,"","","梅昆布茶（3缶セット）","梅昆布茶（3缶セット）",本部,"物販",有効,1700,1574,0,,102,2020-04-01,2023-09-30,有効,2019-12-14 15:44:17,株式会社　東邦_user,2023-10-13 16:09:37,株式会社　東邦_user
401228,"","","梅昆布茶（3缶セット）","梅昆布茶（3缶セット）","LUXAS 渋谷(ラクサス 渋谷)","物販",有効,1700,1574,0,,102,2020-04-01,2023-09-30,有効,2019-12-14 15:44:17,株式会社　東邦_user,2023-10-13 16:09:37,株式会社　東邦_user
401229,"","","梅昆布茶（3缶セット）","梅昆布茶（3缶セット）","LUXAS+中目黒","物販",有効,1700,1574,0,,102,2020-04-01,2023-09-30,有効,2019-12-14 15:44:17,株式会社　東邦_user,2023-10-13 16:09:37,株式会社　東邦_user
401230,"","","梅昆布茶（3缶セット）","梅昆布茶（3缶セット）","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",有効,1700,1574,0,,102,2020-04-01,2023-09-30,有効,2019-12-14 15:44:17,株式会社　東邦_user,2023-10-13 16:09:37,株式会社　東邦_user
401231,"","","梅昆布茶（3缶セット）","梅昆布茶（3缶セット）","LUXAS五反田東口（ラクサス五反田東口）","物販",有効,1700,1574,0,,102,2020-04-01,2023-09-30,有効,2019-12-14 15:44:17,株式会社　東邦_user,2023-10-13 16:09:37,株式会社　東邦_user
401232,"","","梅昆布茶（3缶セット）","梅昆布茶（3缶セット）","LUXAS錦糸町(ラクサス錦糸町)","物販",有効,1700,1574,0,,102,2020-04-01,2023-09-30,有効,2019-12-14 15:44:17,株式会社　東邦_user,2023-10-13 16:09:37,株式会社　東邦_user
401233,"","","梅昆布茶（3缶セット）","梅昆布茶（3缶セット）","LUXAS五反田西口（ラクサス五反田西口）","物販",有効,1700,1574,0,,102,2020-04-01,2023-09-30,有効,2019-12-14 15:44:17,株式会社　東邦_user,2023-10-13 16:09:37,株式会社　東邦_user
401234,"","","梅昆布茶（3缶セット）","梅昆布茶（3缶セット）","LUXAS+（ラクサスプラス）横浜元町中華街","物販",有効,1700,1574,0,,102,2020-04-01,2023-09-30,有効,2019-12-14 15:44:17,株式会社　東邦_user,2023-10-13 16:09:37,株式会社　東邦_user
401235,"","","梅昆布茶（3缶セット）","梅昆布茶（3缶セット）","LUXAS 新橋","物販",有効,1700,1574,0,,102,2020-04-01,2023-09-30,有効,2019-12-14 15:44:17,株式会社　東邦_user,2023-10-13 16:09:37,株式会社　東邦_user
402087,"","","新春福袋","新春福袋","LUXAS錦糸町(ラクサス錦糸町)","物販",無効,15000,13636,,,3,2019-12-23,2020-01-03,有効,2019-12-23 08:55:58,ほぐし家 錦糸町店_user,2019-12-23 08:57:12,ほぐし家 錦糸町店_user
402731,"","","甘酒","甘酒","LUXAS+（ラクサスプラス）横浜元町中華街","物販",無効,900,818,,,3,2020-04-01,2021-12-28,無効,2019-12-30 13:55:16,株式会社　東邦_user,2021-12-28 18:30:25,LUXAS+ 横浜元町中華街_user
